checkpoint,mae_norm,mae_real,mse_norm,mse_real,num_batches,run_name,seed,smoothness_l2_step,study,value,variable
ablations_horizon\horizon_1_seed42\best.pt,0.5848940789699555,0.40358400344848633,0.5321602046489715,0.2610608458518982,10,horizon_1_seed42,42,nan,horizon,1,horizon
ablations_horizon\horizon_4_seed42\best.pt,0.4949954360723495,0.34494456350803376,0.38268387615680693,0.19528612047433852,10,horizon_4_seed42,42,1.2904276490211486,horizon,4,horizon
ablations_horizon\horizon_8_seed42\best.pt,0.46691387295722964,0.3215188354253769,0.3373529851436615,0.1640642210841179,10,horizon_8_seed42,42,0.761173152923584,horizon,8,horizon
ablations_horizon\horizon_16_seed42\best.pt,0.5320853471755982,0.37138005495071413,0.4484284371137619,0.22858817726373673,10,horizon_16_seed42,42,1.0647047400474547,horizon,16,horizon
