checkpoint,mae_norm,mae_real,mse_norm,mse_real,num_batches,run_name,seed,smoothness_l2_step,study,value,variable
ablations_full\history_1_seed42\best.pt,0.33311649991406334,0.23293817236467643,0.20808336635430655,0.10374100161371408,54,history_1_seed42,42,0.14584120218124655,history,1,history
ablations_full\history_1_seed123\best.pt,0.3429553773668077,0.23981370307781077,0.22317226755398292,0.11100453945497672,54,history_1_seed123,123,0.13792000207360144,history,1,history
ablations_full\history_2_seed42\best.pt,0.36257946547472253,0.2552499225679434,0.23589549902475104,0.12101702729486069,53,history_2_seed42,42,0.14058391222695135,history,2,history
ablations_full\history_2_seed123\best.pt,0.33621182616026896,0.2358703357431124,0.21235357098421961,0.10703927081710887,53,history_2_seed123,123,0.14447636916390005,history,2,history
